fseqno,timestamp,car_count,inf_latency,model,gpu_util,gpu_power,network,gpu_mem,cpu_power,cpu_util,cpu_mem
0,1738077792,12,0.6203055381774902,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
1,1738077792,12,0.6203055381774902,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
2,1738077792,12,0.6203055381774902,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
3,1738077796,11,0.0054347515106201,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
4,1738077796,12,0.0063824653625488,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
5,1738077796,13,0.9202938079833984,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
6,1738077796,13,0.8690097332000732,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
7,1738077796,13,0.8033807277679443,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
8,1738077796,13,0.0329091548919677,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
9,1738077796,12,0.0271027088165283,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
10,1738077796,14,0.0264136791229248,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
11,1738077796,14,0.0264136791229248,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
12,1738077796,12,0.0292949676513671,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
13,1738077796,15,0.0193080902099609,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
14,1738077796,15,0.0194597244262695,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
15,1738077796,12,0.0177035331726074,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
16,1738077796,14,0.0185437202453613,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
17,1738077796,14,0.0185437202453613,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
18,1738077796,10,0.0224905014038085,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
19,1738077796,10,0.0186960697174072,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
20,1738077796,11,0.0060062408447265,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
21,1738077796,11,0.0057442188262939,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
22,1738077796,11,0.0056245326995849,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
23,1738077796,11,0.005599021911621,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
24,1738077796,11,0.0056245326995849,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
25,1738077796,11,0.0371592044830322,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
26,1738077797,14,0.0059380531311035,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
27,1738077797,14,0.0055923461914062,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
28,1738077797,16,0.0056896209716796,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
29,1738077797,13,0.0069086551666259,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
30,1738077797,14,0.0056629180908203,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
31,1738077797,15,0.0052330493927001,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
32,1738077797,14,0.0052793025970458,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
33,1738077797,13,0.006087303161621,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
34,1738077797,16,0.0054206848144531,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
35,1738077797,15,0.0055062770843505,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
36,1738077797,12,0.0055575370788574,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
37,1738077797,13,0.005450963973999,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
38,1738077797,14,0.0057582855224609,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
39,1738077797,12,0.0054841041564941,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
40,1738077797,14,0.0060851573944091,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
41,1738077798,11,0.0057408809661865,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
42,1738077798,10,0.0055844783782958,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
43,1738077798,11,0.006321907043457,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
44,1738077798,11,0.0056536197662353,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
45,1738077798,11,0.0054669380187988,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
46,1738077798,15,0.0061326026916503,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
47,1738077798,11,0.0203192234039306,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
48,1738077798,14,0.016310691833496,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
49,1738077798,15,0.0061326026916503,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
50,1738077798,15,0.0061326026916503,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
51,1738077798,15,0.0061326026916503,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
52,1738077798,12,0.0056390762329101,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
53,1738077798,14,0.0057687759399414,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
54,1738077798,14,0.0054771900177001,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
55,1738077799,11,0.0067300796508789,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
56,1738077799,13,0.0059320926666259,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
57,1738077799,13,0.0061390399932861,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
58,1738077799,10,0.006056785583496,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
59,1738077799,9,0.0057170391082763,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
60,1738077799,12,0.0055270195007324,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
61,1738077799,12,0.006072998046875,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
62,1738077799,11,0.0062217712402343,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
63,1738077799,12,0.0053114891052246,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
64,1738077799,13,0.0061280727386474,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
65,1738077799,9,0.0053622722625732,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
66,1738077799,9,0.0054583549499511,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
67,1738077799,12,0.0058100223541259,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
68,1738077799,11,0.0052814483642578,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
69,1738077799,10,0.0061333179473876,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
70,1738077800,13,0.0062291622161865,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
71,1738077800,11,0.0068857669830322,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
72,1738077800,11,0.0056500434875488,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
73,1738077800,12,0.0056006908416748,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
74,1738077800,12,0.0058550834655761,yolov8m,1.0,40.0,0.0,0.0,58.169972,239.6926705,17066.532
