fseqno,timestamp,car_count,inf_latency,model,gpu_util,gpu_power,network,gpu_mem,cpu_power,cpu_util,cpu_mem
0,1738074631,10.0,1.5826592445373535,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
1,1738074631,9.0,0.0029208660125732,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
2,1738074631,8.0,0.0029265880584716,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
3,1738074631,10.0,0.0032234191894531,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
4,1738074631,11.0,0.0167508125305175,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
5,1738074631,10.0,0.022799015045166,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
6,1738074631,11.0,0.0171060562133789,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
7,1738074631,11.0,0.0235192775726318,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
8,1738074631,12.0,0.0202844142913818,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
9,1738074631,10.0,0.0227856636047363,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
10,1738074631,10.0,0.0227856636047363,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
11,1738074631,10.0,0.0247039794921875,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
12,1738074631,12.0,0.0248105525970459,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
13,1738074631,9.0,0.0256116390228271,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
14,1738074631,12.0,0.0202844142913818,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
15,1738074631,9.0,0.0254712104797363,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
16,1738074631,11.0,0.025592565536499,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
17,1738074631,9.0,1.499278545379639,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
18,1738074631,7.0,1.1086883544921875,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
19,1738074631,7.0,0.0250029563903808,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
20,1738074631,7.0,0.0250029563903808,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
21,1738074631,7.0,0.0240535736083984,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
22,1738074631,10.0,0.0221939086914062,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
23,1738074631,9.0,0.0227956771850585,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
24,1738074631,9.0,0.0227956771850585,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
25,1738074631,8.0,0.0220546722412109,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
26,1738074631,9.0,0.0168554782867431,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
